Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
20000,25,17873,703,70.3,2127,17873
40000,25,35879,614,61.4,4121,35879
60000,25,53944,819,81.9,6056,53944
80000,25,72056,889,88.9,7944,72056
100000,25,89743,876,87.6,10257,89743
2,26,2,1,0.1,0,2
3,26,3,2,0.2,0,3
100,26,85,42,4.2,15,85
200,26,179,86,8.6,21,179
2000,26,1740,339,33.9,260,1740
10000,26,8896,477,47.7,1104,8896
20000,26,17961,732,73.2,2039,17961
40000,26,35945,1148,114.8,4055,35945
60000,26,53911,849,84.9,6089,53911
80000,26,71864,811,81.1,8136,71864
100000,26,89864,955,95.5,10136,89864
2,27,1,1,0.1,1,1
3,27,1,2,0.2,2,1
100,27,93,50,5.0,7,93
200,27,180,85,8.5,20,180
2000,27,1750,445,44.5,250,1750
10000,27,8928,561,56.1,1072,8928
20000,27,17955,567,56.7,2045,17955
40000,27,35951,626,62.6,4049,35951
60000,27,53898,1016,101.6,6102,53898
80000,27,72028,987,98.7,7972,72028
100000,27,89980,1107,110.7,10020,89980
2,28,1,1,0.1,1,1
3,28,2,1,0.1,1,2
100,28,87,45,4.5,13,87
200,28,173,98,9.8,27,173
2000,28,1755,386,38.6,245,1755
10000,28,8931,500,50.0,1069,8931
20000,28,17994,784,78.4,2006,17994
40000,28,35948,791,79.1,4052,35948
60000,28,53796,718,71.8,6204,53796
80000,28,71840,711,71.1,8160,71840
100000,28,89942,860,86.0,10058,89942
2,29,2,1,0.1,0,2
3,29,1,2,0.2,2,1
100,29,88,50,5.0,12,88
200,29,173,76,7.6,27,173
2000,29,1746,415,41.5,254,1746
10000,29,8954,634,63.4,1046,8954
20000,29,17878,1103,110.3,2122,17878
40000,29,35830,652,65.2,4170,35830
60000,29,54012,972,97.2,5988,54012
80000,29,71937,629,62.9,8063,71937
100000,29,89706,803,80.3,10294,89706
2,30,0,1,0.1,2,0
3,30,3,2,0.2,0,3
100,30,85,47,4.7,15,85
200,30,163,87,8.7,37,163
2000,30,1750,341,34.1,250,1750
10000,30,8938,556,55.6,1062,8938
20000,30,17958,574,57.4,2042,17958
40000,30,36078,715,71.5,3922,36078
60000,30,53790,807,80.7,6210,53790
80000,30,71977,771,77.1,8023,71977
100000,30,89845,664,66.4,10155,89845
2,31,2,1,0.1,0,2
3,31,2,1,0.1,1,2
100,31,92,49,4.9,8,92
200,31,179,86,8.6,21,179
2000,31,1785,426,42.6,215,1785
10000,31,8945,622,62.2,1055,8945
20000,31,17956,483,48.3,2044,17956
40000,31,35997,1097,109.7,4003,35997
60000,31,53870,900,90.0,6130,53870
80000,31,71876,863,86.3,8124,71876
100000,31,89867,1017,101.7,10133,89867
2,32,2,1,0.1,0,2
3,32,2,1,0.1,1,2
100,32,83,41,4.1,17,83
200,32,172,91,9.1,28,172
2000,32,1764,320,32.0,236,1764
10000,32,8950,580,58.0,1050,8950
20000,32,18025,475,47.5,1975,18025
40000,32,35867,768,76.8,4133,35867
60000,32,53887,857,85.7,6113,53887
80000,32,71797,842,84.2,8203,71797
100000,32,89873,794,79.4,10127,89873
2,33,1,1,0.1,1,1
3,33,2,2,0.2,1,2
100,33,82,45,4.5,18,82
200,33,176,95,9.5,24,176
2000,33,1773,380,38.0,227,1773
10000,33,9001,616,61.6,999,9001
20000,33,17861,597,59.7,2139,17861
40000,33,36000,661,66.1,4000,36000
60000,33,53999,1028,102.8,6001,53999
80000,33,71854,773,77.3,8146,71854
100000,33,90034,1006,100.6,9966,90034
2,34,2,1,0.1,0,2
3,34,3,2,0.2,0,3
100,34,88,45,4.5,12,88
200,34,171,92,9.2,29,171
2000,34,1745,323,32.3,255,1745
10000,34,8952,398,39.8,1048,8952
20000,34,17976,865,86.5,2024,17976
40000,34,35965,903,90.3,4035,35965
60000,34,53965,549,54.9,6035,53965
80000,34,71949,670,67.0,8051,71949
100000,34,89871,920,92.0,10129,89871
2,35,2,1,0.1,0,2
3,35,2,1,0.1,1,2
100,35,86,47,4.7,14,86
200,35,176,82,8.2,24,176
2000,35,1743,527,52.7,257,1743
10000,35,8973,573,57.3,1027,8973
20000,35,17947,737,73.7,2053,17947
40000,35,35941,850,85.0,4059,35941
60000,35,53894,1097,109.7,6106,53894
80000,35,71947,991,99.1,8053,71947
100000,35,89857,981,98.1,10143,89857
2,36,1,1,0.1,1,1
3,36,2,2,0.2,1,2
100,36,85,44,4.4,15,85
200,36,167,90,9.0,33,167
2000,36,1786,356,35.6,214,1786
10000,36,8964,505,50.5,1036,8964
20000,36,17943,558,55.8,2057,17943
40000,36,35919,1066,106.6,4081,35919
60000,36,53886,929,92.9,6114,53886
80000,36,71734,898,89.8,8266,71734
100000,36,90038,930,93.0,9962,90038
2,37,1,1,0.1,1,1
3,37,3,2,0.2,0,3
100,37,86,44,4.4,14,86
200,37,171,92,9.2,29,171
2000,37,1752,417,41.7,248,1752
10000,37,8889,705,70.5,1111,8889
20000,37,17927,597,59.7,2073,17927
40000,37,35996,877,87.7,4004,35996
60000,37,53967,815,81.5,6033,53967
80000,37,71871,880,88.0,8129,71871
100000,37,89807,928,92.8,10193,89807
2,38,2,1,0.1,0,2
3,38,3,2,0.2,0,3
100,38,90,47,4.7,10,90
200,38,167,85,8.5,33,167
2000,38,1736,383,38.3,264,1736
10000,38,8896,850,85.0,1104,8896
20000,38,17938,877,87.7,2062,17938
40000,38,35859,928,92.8,4141,35859
60000,38,54002,713,71.3,5998,54002
80000,38,71889,743,74.3,8111,71889
100000,38,89832,1000,100.0,10168,89832
2,39,2,1,0.1,0,2
3,39,2,1,0.1,1,2
100,39,81,40,4.0,19,81
200,39,177,91,9.1,23,177
