Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
20000,96,9903,3687,18.44,10097,9903
40000,96,19879,13623,68.12,20121,19879
60000,96,30020,13004,65.02,29980,30020
80000,96,39884,19783,98.91,40116,39884
100000,96,49824,25704,128.52,50176,49824
2,97,2,1,0.01,0,2
3,97,1,1,0.01,2,1
100,97,48,14,0.07,52,48
200,97,105,132,0.66,95,105
2000,97,983,709,3.54,1017,983
10000,97,4993,3281,16.41,5007,4993
20000,97,9926,3280,16.4,10074,9926
40000,97,19906,12658,63.29,20094,19906
60000,97,30031,12167,60.84,29969,30031
80000,97,40009,24486,122.43,39991,40009
100000,97,49826,33603,168.01,50174,49826
2,98,0,1,0.01,2,0
3,98,1,1,0.01,2,1
100,98,51,83,0.42,49,51
200,98,101,38,0.19,99,101
2000,98,1012,487,2.43,988,1012
10000,98,4998,2027,10.14,5002,4998
20000,98,10013,9347,46.74,9987,10013
40000,98,19885,14874,74.37,20115,19885
60000,98,30046,25740,128.7,29954,30046
80000,98,39851,31851,159.25,40149,39851
100000,98,49810,34123,170.61,50190,49810
2,99,1,1,0.01,1,1
3,99,3,1,0.01,0,3
100,99,54,44,0.22,46,54
200,99,100,129,0.65,100,100
2000,99,988,1519,7.59,1012,988
10000,99,4905,604,3.02,5095,4905
20000,99,9971,8539,42.7,10029,9971
40000,99,19863,25784,128.92,20137,19863
60000,99,29815,25518,127.59,30185,29815
80000,99,39665,43325,216.62,40335,39665
100000,99,49878,36522,182.61,50122,49878
2,100,0,1,0.01,2,0
3,100,2,1,0.01,1,2
100,100,44,87,0.44,56,44
200,100,96,169,0.85,104,96
2000,100,1015,806,4.03,985,1015
10000,100,4880,6324,31.62,5120,4880
20000,100,10038,4837,24.18,9962,10038
40000,100,19874,15726,78.63,20126,19874
60000,100,29978,12338,61.69,30022,29978
80000,100,39911,1165,5.82,40089,39911
100000,100,49828,29215,146.07,50172,49828
