Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
3,19,2,0,0,1,2
100,19,88,0,0,12,88
200,19,187,0,0,13,187
2000,19,1816,0,0,184,1816
10000,19,8994,0,0,1006,8994
20000,19,18000,0,0,2000,18000
40000,19,36098,0,0,3902,36098
60000,19,54052,0,0,5948,54052
80000,19,71988,0,0,8012,71988
100000,19,89970,0,0,10030,89970
2,20,1,0,0,1,1
3,20,3,0,0,0,3
100,20,89,0,0,11,89
200,20,185,0,0,15,185
2000,20,1810,0,0,190,1810
10000,20,8977,0,0,1023,8977
20000,20,17991,0,0,2009,17991
40000,20,35964,0,0,4036,35964
60000,20,53975,0,0,6025,53975
80000,20,72017,0,0,7983,72017
100000,20,90146,0,0,9854,90146
2,21,2,0,0,0,2
3,21,3,0,0,0,3
100,21,94,0,0,6,94
200,21,180,0,0,20,180
2000,21,1778,0,0,222,1778
10000,21,9016,0,0,984,9016
20000,21,17986,0,0,2014,17986
40000,21,36035,0,0,3965,36035
60000,21,53965,0,0,6035,53965
80000,21,71989,0,0,8011,71989
100000,21,90093,0,0,9907,90093
2,22,2,0,0,0,2
3,22,3,0,0,0,3
100,22,92,0,0,8,92
200,22,184,0,0,16,184
2000,22,1802,0,0,198,1802
10000,22,8964,0,0,1036,8964
20000,22,17982,0,0,2018,17982
40000,22,36049,0,0,3951,36049
60000,22,53955,0,0,6045,53955
80000,22,71931,0,0,8069,71931
100000,22,89981,0,0,10019,89981
2,23,1,0,0,1,1
3,23,3,0,0,0,3
100,23,87,0,0,13,87
200,23,184,0,0,16,184
2000,23,1792,0,0,208,1792
10000,23,9000,0,0,1000,9000
20000,23,18011,0,0,1989,18011
40000,23,36022,0,0,3978,36022
60000,23,54026,0,0,5974,54026
80000,23,71983,0,0,8017,71983
100000,23,90050,0,0,9950,90050
2,24,2,0,0,0,2
3,24,3,0,0,0,3
100,24,86,0,0,14,86
200,24,175,0,0,25,175
2000,24,1813,0,0,187,1813
10000,24,9007,0,0,993,9007
20000,24,18075,0,0,1925,18075
40000,24,36029,0,0,3971,36029
60000,24,53863,0,0,6137,53863
80000,24,71974,0,0,8026,71974
100000,24,90131,0,0,9869,90131
2,25,1,0,0,1,1
3,25,3,0,0,0,3
100,25,92,0,0,8,92
200,25,185,0,0,15,185
2000,25,1788,0,0,212,1788
10000,25,9052,0,0,948,9052
20000,25,18012,0,0,1988,18012
40000,25,36061,0,0,3939,36061
60000,25,54039,0,0,5961,54039
80000,25,71831,0,0,8169,71831
100000,25,90199,0,0,9801,90199
2,26,2,0,0,0,2
3,26,3,0,0,0,3
100,26,92,0,0,8,92
200,26,187,0,0,13,187
2000,26,1812,0,0,188,1812
10000,26,9015,0,0,985,9015
20000,26,18012,0,0,1988,18012
40000,26,35989,0,0,4011,35989
60000,26,53983,0,0,6017,53983
80000,26,71930,0,0,8070,71930
100000,26,90127,0,0,9873,90127
2,27,2,0,0,0,2
3,27,2,0,0,1,2
100,27,89,0,0,11,89
200,27,178,0,0,22,178
2000,27,1789,0,0,211,1789
10000,27,9020,0,0,980,9020
20000,27,18033,0,0,1967,18033
40000,27,35974,0,0,4026,35974
60000,27,54064,0,0,5936,54064
80000,27,72037,0,0,7963,72037
100000,27,89789,0,0,10211,89789
2,28,2,0,0,0,2
3,28,3,0,0,0,3
100,28,91,0,0,9,91
200,28,189,0,0,11,189
2000,28,1786,0,0,214,1786
10000,28,8974,0,0,1026,8974
20000,28,18020,0,0,1980,18020
40000,28,36048,0,0,3952,36048
60000,28,54011,0,0,5989,54011
80000,28,72047,0,0,7953,72047
100000,28,90005,0,0,9995,90005
2,29,2,0,0,0,2
3,29,3,0,0,0,3
100,29,89,0,0,11,89
200,29,173,0,0,27,173
2000,29,1799,0,0,201,1799
10000,29,9041,0,0,959,9041
20000,29,17991,0,0,2009,17991
40000,29,35978,0,0,4022,35978
60000,29,53974,0,0,6026,53974
80000,29,72008,0,0,7992,72008
100000,29,90012,0,0,9988,90012
2,30,2,0,0,0,2
3,30,2,0,0,1,2
100,30,83,0,0,17,83
200,30,174,0,0,26,174
2000,30,1805,0,0,195,1805
10000,30,8985,0,0,1015,8985
20000,30,17984,0,0,2016,17984
40000,30,35911,0,0,4089,35911
60000,30,54113,0,0,5887,54113
80000,30,72123,0,0,7877,72123
100000,30,89970,0,0,10030,89970
2,31,2,0,0,0,2
3,31,3,0,0,0,3
100,31,89,0,0,11,89
200,31,172,0,0,28,172
2000,31,1779,0,0,221,1779
10000,31,8991,0,0,1009,8991
20000,31,17958,0,0,2042,17958
40000,31,36103,0,0,3897,36103
60000,31,54002,0,0,5998,54002
80000,31,72056,0,0,7944,72056
100000,31,89941,0,0,10059,89941
2,32,2,0,0,0,2
3,32,3,0,0,0,3
100,32,82,0,0,18,82
200,32,185,0,0,15,185
2000,32,1808,0,0,192,1808
10000,32,8971,0,0,1029,8971
20000,32,17963,0,0,2037,17963
40000,32,36022,0,0,3978,36022
60000,32,53986,0,0,6014,53986
80000,32,71996,0,0,8004,71996
100000,32,89968,0,0,10032,89968
2,33,2,0,0,0,2
3,33,3,0,0,0,3
100,33,92,0,0,8,92
200,33,181,0,0,19,181
