Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2000,21,1801,1000,5.0,199,1801
10000,21,9006,1000,5.0,994,9006
20000,21,17994,1000,5.0,2006,17994
40000,21,36029,1000,5.0,3971,36029
60000,21,54046,1000,5.0,5954,54046
80000,21,72099,1000,5.0,7901,72099
100000,21,90091,1000,5.0,9909,90091
2,22,2,1,0.01,0,2
3,22,3,2,0.01,0,3
100,22,93,50,0.25,7,93
200,22,189,100,0.5,11,189
2000,22,1790,1000,5.0,210,1790
10000,22,8980,9000,45.0,1020,8980
20000,22,17920,19000,95.0,2080,17920
40000,22,35717,39000,195.0,4283,35717
60000,22,53619,59000,295.0,6381,53619
80000,22,71471,79000,395.0,8529,71471
100000,22,89338,99000,495.0,10662,89338
2,23,1,1,0.01,1,1
3,23,2,2,0.01,1,2
100,23,93,50,0.25,7,93
200,23,183,100,0.5,17,183
2000,23,1795,1000,5.0,205,1795
10000,23,8948,1737,8.68,1052,8948
20000,23,17947,1737,8.68,2053,17947
40000,23,35884,1737,8.68,4116,35884
60000,23,53827,1737,8.68,6173,53827
80000,23,71870,1737,8.68,8130,71870
100000,23,89947,1737,8.68,10053,89947
2,24,2,1,0.01,0,2
3,24,3,2,0.01,0,3
100,24,89,50,0.25,11,89
200,24,178,100,0.5,22,178
2000,24,1793,1000,5.0,207,1793
10000,24,9016,1000,5.0,984,9016
20000,24,18046,1000,5.0,1954,18046
40000,24,35980,1000,5.0,4020,35980
60000,24,53935,1000,5.0,6065,53935
80000,24,71924,1000,5.0,8076,71924
100000,24,89901,1000,5.0,10099,89901
2,25,1,1,0.01,1,1
3,25,2,2,0.01,1,2
100,25,88,50,0.25,12,88
200,25,179,100,0.5,21,179
2000,25,1804,1000,5.0,196,1804
10000,25,8965,1000,5.0,1035,8965
20000,25,17935,1000,5.0,2065,17935
40000,25,35964,1000,5.0,4036,35964
60000,25,54000,1000,5.0,6000,54000
80000,25,71967,1000,5.0,8033,71967
100000,25,89859,1000,5.0,10141,89859
2,26,1,1,0.01,1,1
3,26,2,2,0.01,1,2
100,26,91,50,0.25,9,91
200,26,181,100,0.5,19,181
2000,26,1774,1000,5.0,226,1774
10000,26,8993,1065,5.32,1007,8993
20000,26,18023,1065,5.32,1977,18023
40000,26,36003,1065,5.32,3997,36003
60000,26,54002,1065,5.32,5998,54002
80000,26,71977,1065,5.32,8023,71977
100000,26,89941,1065,5.32,10059,89941
2,27,1,1,0.01,1,1
3,27,2,2,0.01,1,2
100,27,87,50,0.25,13,87
200,27,178,100,0.5,22,178
2000,27,1791,1000,5.0,209,1791
10000,27,9007,1000,5.0,993,9007
20000,27,17963,1000,5.0,2037,17963
40000,27,35964,1000,5.0,4036,35964
60000,27,53875,1000,5.0,6125,53875
80000,27,71906,1000,5.0,8094,71906
100000,27,89938,1000,5.0,10062,89938
2,28,2,1,0.01,0,2
3,28,3,2,0.01,0,3
100,28,87,50,0.25,13,87
200,28,177,100,0.5,23,177
2000,28,1776,1000,5.0,224,1776
10000,28,8956,8984,44.92,1044,8956
20000,28,17911,18984,94.92,2089,17911
