Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
2,29,1,1,0.01,1,1
3,29,1,1,0.01,2,1
100,29,49,54,0.27,51,49
200,29,100,94,0.47,100,100
2000,29,998,720,3.6,1002,998
10000,29,4992,6059,30.29,5008,4992
20000,29,10098,14058,70.29,9902,10098
40000,29,19728,33461,167.3,20272,19728
60000,29,29938,8460,42.3,30062,29938
80000,29,39756,16472,82.36,40244,39756
100000,29,49955,37877,189.38,50045,49955
2,30,0,1,0.01,2,0
3,30,2,1,0.01,1,2
100,30,62,10,0.05,38,62
200,30,99,158,0.79,101,99
2000,30,1001,924,4.62,999,1001
10000,30,4973,5743,28.71,5027,4973
20000,30,9889,6847,34.23,10111,9889
40000,30,19928,16674,83.37,20072,19928
60000,30,29995,8137,40.69,30005,29995
80000,30,39656,2403,12.02,40344,39656
100000,30,50054,33576,167.88,49946,50054
2,31,1,1,0.01,1,1
3,31,0,2,0.01,3,0
100,31,41,25,0.13,59,41
200,31,104,135,0.68,96,104
2000,31,996,1711,8.55,1004,996
10000,31,5007,5907,29.53,4993,5007
20000,31,9981,13368,66.84,10019,9981
40000,31,19910,13529,67.65,20090,19910
60000,31,29747,27104,135.52,30253,29747
80000,31,39980,20370,101.85,40020,39980
100000,31,49742,9377,46.89,50258,49742
2,32,1,1,0.01,1,1
3,32,2,1,0.01,1,2
100,32,52,86,0.43,48,52
200,32,89,8,0.04,111,89
2000,32,977,1051,5.25,1023,977
10000,32,4965,8388,41.94,5035,4965
20000,32,10001,1865,9.33,9999,10001
40000,32,19875,14335,71.68,20125,19875
60000,32,29619,20185,100.92,30381,29619
80000,32,40133,2232,11.16,39867,40133
100000,32,49556,10956,54.78,50444,49556
2,33,0,1,0.01,2,0
3,33,3,2,0.01,0,3
100,33,45,38,0.19,55,45
200,33,96,106,0.53,104,96
2000,33,1013,1469,7.34,987,1013
10000,33,4986,389,1.94,5014,4986
20000,33,9963,550,2.75,10037,9963
40000,33,19977,7890,39.45,20023,19977
60000,33,29822,35294,176.47,30178,29822
80000,33,39922,13120,65.6,40078,39922
100000,33,49888,9129,45.65,50112,49888
2,34,2,1,0.01,0,2
3,34,2,2,0.01,1,2
100,34,53,30,0.15,47,53
200,34,89,151,0.76,111,89
2000,34,992,735,3.67,1008,992
10000,34,4913,9208,46.04,5087,4913
20000,34,10065,5390,26.95,9935,10065
40000,34,19875,30233,151.16,20125,19875
60000,34,29910,39120,195.6,30090,29910
80000,34,40010,11211,56.06,39990,40010
100000,34,49826,13339,66.7,50174,49826
2,35,0,1,0.01,2,0
3,35,1,2,0.01,2,1
100,35,33,19,0.1,67,33
200,35,107,21,0.11,93,107
2000,35,993,1341,6.7,1007,993
10000,35,4897,4098,20.49,5103,4897
20000,35,9983,5997,29.98,10017,9983
40000,35,20032,6081,30.4,19968,20032
60000,35,29977,6150,30.75,30023,29977
80000,35,39863,32538,162.69,40137,39863
100000,35,49883,38765,193.82,50117,49883
2,36,0,1,0.01,2,0
3,36,0,2,0.01,3,0
100,36,46,84,0.42,54,46
200,36,98,168,0.84,102,98
2000,36,998,88,0.44,1002,998
10000,36,4992,5029,25.14,5008,4992
20000,36,9878,11035,55.18,10122,9878
40000,36,19727,26386,131.93,20273,19727
60000,36,29810,39499,197.49,30190,29810
80000,36,40159,13412,67.06,39841,40159
100000,36,49455,62021,310.1,50545,49455
2,37,2,1,0.01,0,2
3,37,1,2,0.01,2,1
100,37,50,36,0.18,50,50
200,37,107,74,0.37,93,107
2000,37,1047,1073,5.36,953,1047
10000,37,5014,3517,17.59,4986,5014
20000,37,9941,7819,39.1,10059,9941
40000,37,20096,1899,9.5,19904,20096
60000,37,29947,36908,184.54,30053,29947
80000,37,40034,9523,47.62,39966,40034
100000,37,49883,17260,86.3,50117,49883
2,38,1,1,0.01,1,1
3,38,1,2,0.01,2,1
100,38,44,96,0.48,56,44
200,38,102,128,0.64,98,102
2000,38,962,629,3.14,1038,962
10000,38,5069,8510,42.55,4931,5069
20000,38,9958,12468,62.34,10042,9958
40000,38,19933,15225,76.13,20067,19933
60000,38,29875,22994,114.97,30125,29875
80000,38,39845,35816,179.08,40155,39845
100000,38,50148,3885,19.43,49852,50148
2,39,1,1,0.01,1,1
3,39,0,2,0.01,3,0
100,39,54,19,0.1,46,54
200,39,92,20,0.1,108,92
2000,39,991,242,1.21,1009,991
10000,39,4986,6455,32.27,5014,4986
20000,39,9966,1810,9.05,10034,9966
40000,39,19747,9694,48.47,20253,19747
60000,39,29926,37334,186.67,30074,29926
80000,39,40111,673,3.36,39889,40111
100000,39,50059,10259,51.3,49941,50059
2,40,1,1,0.01,1,1
3,40,0,2,0.01,3,0
100,40,45,82,0.41,55,45
200,40,97,90,0.45,103,97
2000,40,1030,144,0.72,970,1030
10000,40,4995,740,3.7,5005,4995
20000,40,9861,19548,97.74,10139,9861
40000,40,19871,11019,55.1,20129,19871
60000,40,29612,22444,112.22,30388,29612
80000,40,39846,29308,146.54,40154,39846
100000,40,49941,20004,100.02,50059,49941
2,41,1,1,0.01,1,1
3,41,2,1,0.01,1,2
100,41,55,71,0.36,45,55
200,41,98,64,0.32,102,98
2000,41,1030,614,3.07,970,1030
10000,41,5019,3559,17.8,4981,5019
20000,41,10105,2374,11.87,9895,10105
40000,41,19972,5719,28.59,20028,19972
60000,41,30122,12514,62.57,29878,30122
80000,41,39786,34869,174.34,40214,39786
100000,41,49736,7017,35.08,50264,49736
2,42,2,1,0.01,0,2
3,42,2,2,0.01,1,2
100,42,39,91,0.46,61,39
200,42,109,24,0.12,91,109
2000,42,968,1832,9.16,1032,968
10000,42,5048,746,3.73,4952,5048
20000,42,9951,1421,7.1,10049,9951
40000,42,19851,13089,65.45,20149,19851
60000,42,29975,591,2.95,30025,29975
80000,42,39861,5355,26.77,40139,39861
100000,42,49921,39804,199.02,50079,49921
2,43,2,1,0.01,0,2
3,43,2,2,0.01,1,2
100,43,46,93,0.47,54,46
200,43,95,123,0.62,105,95
2000,43,985,610,3.05,1015,985
10000,43,5022,4080,20.4,4978,5022
20000,43,9978,8335,41.68,10022,9978
40000,43,19932,19760,98.8,20068,19932
60000,43,29812,15171,75.86,30188,29812
80000,43,39928,35389,176.94,40072,39928
100000,43,49782,36102,180.51,50218,49782
2,44,0,1,0.01,2,0
3,44,2,1,0.01,1,2
100,44,53,89,0.45,47,53
200,44,110,136,0.68,90,110
2000,44,960,1627,8.13,1040,960
10000,44,4926,2938,14.69,5074,4926
20000,44,9869,8930,44.65,10131,9869
40000,44,19906,30656,153.28,20094,19906
60000,44,29734,5670,28.35,30266,29734
80000,44,39881,24377,121.88,40119,39881
100000,44,49835,17002,85.01,50165,49835
2,45,0,1,0.01,2,0
3,45,2,2,0.01,1,2
100,45,43,44,0.22,57,43
200,45,86,153,0.77,114,86
2000,45,970,985,4.92,1030,970
10000,45,4913,4993,24.96,5087,4913
20000,45,9948,19904,99.52,10052,9948
40000,45,19941,9008,45.04,20059,19941
60000,45,30141,12415,62.08,29859,30141
80000,45,40034,22739,113.69,39966,40034
100000,45,50056,12019,60.1,49944,50056
2,46,1,1,0.01,1,1
3,46,2,2,0.01,1,2
100,46,52,65,0.33,48,52
200,46,98,19,0.1,102,98
2000,46,999,350,1.75,1001,999
10000,46,5007,2863,14.32,4993,5007
20000,46,9972,2737,13.69,10028,9972
40000,46,19942,990,4.95,20058,19942
60000,46,29973,2585,12.93,30027,29973
80000,46,40023,28601,143.0,39977,40023
100000,46,49843,37880,189.4,50157,49843
2,47,1,1,0.01,1,1
3,47,1,2,0.01,2,1
100,47,58,69,0.35,42,58
200,47,91,79,0.4,109,91
2000,47,1002,27,0.14,998,1002
10000,47,5017,6166,30.83,4983,5017
20000,47,10070,1272,6.36,9930,10070
40000,47,20071,273,1.36,19929,20071
60000,47,29852,12521,62.61,30148,29852
80000,47,39563,51604,258.02,40437,39563
100000,47,49797,20395,101.97,50203,49797
2,48,0,1,0.01,2,0
3,48,1,1,0.01,2,1
100,48,62,86,0.43,38,62
200,48,102,9,0.05,98,102
2000,48,957,1010,5.05,1043,957
10000,48,4979,7624,38.12,5021,4979
20000,48,9815,9773,48.87,10185,9815
40000,48,19811,3966,19.83,20189,19811
60000,48,30004,4853,24.26,29996,30004
80000,48,39789,15296,76.48,40211,39789
100000,48,50009,38167,190.83,49991,50009
2,49,1,1,0.01,1,1
3,49,2,2,0.01,1,2
100,49,48,7,0.04,52,48
200,49,99,33,0.17,101,99
2000,49,981,1148,5.74,1019,981
10000,49,4962,5149,25.74,5038,4962
20000,49,9956,12619,63.1,10044,9956
40000,49,19812,16877,84.38,20188,19812
60000,49,30018,12776,63.88,29982,30018
80000,49,39817,11093,55.47,40183,39817
100000,49,49775,16385,81.92,50225,49775
2,50,1,1,0.01,1,1
3,50,1,1,0.01,2,1
100,50,50,30,0.15,50,50
200,50,98,129,0.65,102,98
2000,50,1009,914,4.57,991,1009
10000,50,4972,6526,32.63,5028,4972
20000,50,9984,10161,50.81,10016,9984
40000,50,19816,2647,13.24,20184,19816
60000,50,29863,16157,80.78,30137,29863
80000,50,40101,15898,79.49,39899,40101
100000,50,49768,14239,71.2,50232,49768
2,51,1,1,0.01,1,1
3,51,1,2,0.01,2,1
100,51,51,97,0.49,49,51
200,51,96,38,0.19,104,96
2000,51,1000,1845,9.23,1000,1000
10000,51,4927,5092,25.46,5073,4927
20000,51,10030,7849,39.25,9970,10030
40000,51,19939,9600,48.0,20061,19939
60000,51,29722,8067,40.34,30278,29722
80000,51,39681,25442,127.21,40319,39681
100000,51,49606,99919,499.59,50394,49606
