Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
10000,23,17037,10000,1000.0,2964,17037
20000,23,33942,20000,2000.0,6059,33942
40000,23,68029,40000,4000.0,11972,68029
60000,23,101864,60000,6000.0,18137,101864
80000,23,135974,80000,8000.0,24027,135974
100000,23,170290,100000,10000.0,29711,170290
2,24,4,2,0.2,1,4
3,24,7,4,0.4,0,7
100,24,170,100,10.0,31,170
200,24,332,200,20.0,69,332
2000,24,3367,2000,200.0,634,3367
10000,24,16978,10000,1000.0,3023,16978
20000,24,34056,20000,2000.0,5945,34056
40000,24,68085,40000,4000.0,11916,68085
60000,24,101965,60000,6000.0,18036,101965
80000,24,136060,80000,8000.0,23941,136060
100000,24,169936,100000,10000.0,30065,169936
2,25,5,3,0.3,0,5
3,25,5,3,0.3,2,5
100,25,174,100,10.0,27,174
200,25,336,200,20.0,65,336
2000,25,3394,2000,200.0,607,3394
10000,25,17020,10000,1000.0,2981,17020
20000,25,34065,20000,2000.0,5936,34065
40000,25,68012,40000,4000.0,11989,68012
60000,25,102131,60000,6000.0,17870,102131
80000,25,136091,80000,8000.0,23910,136091
100000,25,169801,100000,10000.0,30200,169801
2,26,5,3,0.3,0,5
3,26,6,4,0.4,1,6
100,26,164,100,10.0,37,164
200,26,344,200,20.0,57,344
2000,26,3393,2000,200.0,608,3393
10000,26,17033,10000,1000.0,2968,17033
20000,26,34108,20000,2000.0,5893,34108
40000,26,67870,40000,4000.0,12131,67870
60000,26,101997,60000,6000.0,18004,101997
80000,26,135982,80000,8000.0,24019,135982
100000,26,169923,100000,10000.0,30078,169923
2,27,4,2,0.2,1,4
3,27,5,4,0.4,2,5
100,27,174,100,10.0,27,174
200,27,336,200,20.0,65,336
2000,27,3396,2000,200.0,605,3396
10000,27,16982,10000,1000.0,3019,16982
20000,27,33995,20000,2000.0,6006,33995
40000,27,67872,40000,4000.0,12129,67872
60000,27,101993,60000,6000.0,18008,101993
80000,27,135996,80000,8000.0,24005,135996
100000,27,170075,100000,10000.0,29926,170075
2,28,4,2,0.2,1,4
3,28,7,4,0.4,0,7
100,28,179,100,10.0,22,179
200,28,341,200,20.0,60,341
2000,28,3444,2000,200.0,557,3444
10000,28,16928,10000,1000.0,3073,16928
20000,28,34078,20000,2000.0,5923,34078
40000,28,67888,40000,4000.0,12113,67888
60000,28,102064,60000,6000.0,17937,102064
80000,28,136062,80000,8000.0,23939,136062
100000,28,169828,100000,10000.0,30173,169828
2,29,4,2,0.2,1,4
3,29,7,4,0.4,0,7
100,29,171,100,10.0,30,171
200,29,336,200,20.0,65,336
