Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
3,28,3,1,0.01,0,3
100,28,84,52,0.26,16,84
200,28,178,89,0.45,22,178
2000,28,1794,895,4.47,206,1794
10000,28,8948,3792,18.96,1052,8948
20000,28,17996,8644,43.22,2004,17996
40000,28,36012,10599,53.0,3988,36012
60000,28,53967,17823,89.11,6033,53967
80000,28,71861,25230,126.15,8139,71861
100000,28,89808,16942,84.71,10192,89808
2,29,2,1,0.01,0,2
3,29,3,1,0.01,0,3
100,29,92,51,0.26,8,92
200,29,183,95,0.48,17,183
2000,29,1774,817,4.08,226,1774
10000,29,8972,5879,29.39,1028,8972
20000,29,17911,11217,56.09,2089,17911
40000,29,35964,12243,61.22,4036,35964
60000,29,53817,18122,90.61,6183,53817
80000,29,71803,27731,138.65,8197,71803
100000,29,89872,19591,97.95,10128,89872
2,30,1,1,0.01,1,1
3,30,3,1,0.01,0,3
100,30,93,50,0.25,7,93
200,30,185,96,0.48,15,185
2000,30,1792,1066,5.33,208,1792
10000,30,8992,3981,19.91,1008,8992
20000,30,17963,8997,44.99,2037,17963
40000,30,36066,14570,72.85,3934,36066
60000,30,53973,14597,72.99,6027,53973
80000,30,71917,25367,126.83,8083,71917
100000,30,89941,20132,100.66,10059,89941
2,31,2,1,0.01,0,2
3,31,3,1,0.01,0,3
100,31,90,51,0.26,10,90
200,31,182,100,0.5,18,182
2000,31,1788,830,4.15,212,1788
10000,31,9019,4865,24.32,981,9019
20000,31,18001,9925,49.63,1999,18001
40000,31,35869,10065,50.33,4131,35869
60000,31,53909,9918,49.59,6091,53909
80000,31,71787,28189,140.94,8213,71787
100000,31,89843,41309,206.54,10157,89843
2,32,2,1,0.01,0,2
3,32,3,1,0.01,0,3
100,32,92,50,0.25,8,92
200,32,181,98,0.49,19,181
2000,32,1782,818,4.09,218,1782
10000,32,9061,4027,20.14,939,9061
20000,32,17997,8439,42.2,2003,17997
40000,32,35924,16334,81.67,4076,35924
60000,32,53902,23295,116.47,6098,53902
80000,32,71880,20055,100.27,8120,71880
100000,32,89812,27907,139.53,10188,89812
2,33,2,1,0.01,0,2
3,33,3,1,0.01,0,3
100,33,92,50,0.25,8,92
200,33,169,103,0.52,31,169
2000,33,1797,884,4.42,203,1797
10000,33,8940,5060,25.3,1060,8940
20000,33,17937,8762,43.81,2063,17937
40000,33,35972,16127,80.63,4028,35972
60000,33,53834,15365,76.83,6166,53834
80000,33,71780,15973,79.86,8220,71780
100000,33,89994,23160,115.8,10006,89994
2,34,1,1,0.01,1,1
3,34,2,1,0.01,1,2
100,34,88,48,0.24,12,88
200,34,184,101,0.51,16,184
2000,34,1794,1162,5.81,206,1794
10000,34,8997,3061,15.31,1003,8997
20000,34,17888,5963,29.81,2112,17888
40000,34,35948,9151,45.76,4052,35948
60000,34,53917,18741,93.7,6083,53917
80000,34,72001,22706,113.53,7999,72001
100000,34,89859,16826,84.13,10141,89859
2,35,2,1,0.01,0,2
3,35,2,1,0.01,1,2
100,35,83,51,0.26,17,83
200,35,183,101,0.51,17,183
2000,35,1802,1066,5.33,198,1802
10000,35,8970,5130,25.65,1030,8970
20000,35,17896,6916,34.58,2104,17896
40000,35,35961,11216,56.08,4039,35961
60000,35,53785,17623,88.11,6215,53785
80000,35,71937,15283,76.42,8063,71937
100000,35,89774,21856,109.28,10226,89774
2,36,2,1,0.01,0,2
3,36,3,1,0.01,0,3
100,36,85,48,0.24,15,85
200,36,169,118,0.59,31,169
2000,36,1803,1287,6.43,197,1803
10000,36,8987,4341,21.7,1013,8987
20000,36,17942,8575,42.88,2058,17942
40000,36,35936,10993,54.97,4064,35936
60000,36,54057,21336,106.68,5943,54057
80000,36,71843,36221,181.1,8157,71843
100000,36,89813,24251,121.25,10187,89813
2,37,2,1,0.01,0,2
3,37,3,1,0.01,0,3
100,37,92,49,0.25,8,92
200,37,176,107,0.54,24,176
2000,37,1789,826,4.13,211,1789
10000,37,8981,3440,17.2,1019,8981
20000,37,17900,10063,50.32,2100,17900
40000,37,35929,14020,70.1,4071,35929
60000,37,53878,26360,131.8,6122,53878
80000,37,71933,16478,82.39,8067,71933
100000,37,89760,21355,106.77,10240,89760
2,38,2,1,0.01,0,2
3,38,3,1,0.01,0,3
100,38,91,51,0.26,9,91
200,38,184,106,0.53,16,184
2000,38,1773,740,3.7,227,1773
10000,38,8970,3653,18.27,1030,8970
20000,38,18006,7052,35.26,1994,18006
40000,38,35879,13800,69.0,4121,35879
60000,38,53763,21581,107.9,6237,53763
80000,38,71836,26889,134.44,8164,71836
100000,38,89859,19550,97.75,10141,89859
2,39,2,1,0.01,0,2
3,39,1,2,0.01,2,1
100,39,90,49,0.25,10,90
200,39,188,92,0.46,12,188
2000,39,1809,864,4.32,191,1809
10000,39,8947,4232,21.16,1053,8947
20000,39,17926,7164,35.82,2074,17926
40000,39,35973,8969,44.85,4027,35973
60000,39,53777,20843,104.21,6223,53777
80000,39,71969,18348,91.74,8031,71969
100000,39,89915,22367,111.83,10085,89915
2,40,2,1,0.01,0,2
3,40,3,1,0.01,0,3
100,40,93,50,0.25,7,93
200,40,184,96,0.48,16,184
2000,40,1812,909,4.54,188,1812
10000,40,9028,3404,17.02,972,9028
20000,40,18010,8300,41.5,1990,18010
40000,40,35944,12158,60.79,4056,35944
60000,40,53901,25798,128.99,6099,53901
80000,40,71916,28614,143.07,8084,71916
100000,40,89923,16718,83.59,10077,89923
2,41,2,1,0.01,0,2
3,41,3,1,0.01,0,3
100,41,91,50,0.25,9,91
