Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
20000,25,15986,20000,2000.0,4014,15986
40000,25,31923,40000,4000.0,8077,31923
60000,25,48045,60000,6000.0,11955,48045
80000,25,63977,80000,8000.0,16023,63977
100000,25,79860,100000,10000.0,20140,79860
2,26,2,2,0.2,0,2
3,26,3,3,0.3,0,3
100,26,78,100,10.0,22,78
200,26,158,200,20.0,42,158
2000,26,1590,2000,200.0,410,1590
10000,26,7918,10000,1000.0,2082,7918
20000,26,16017,20000,2000.0,3983,16017
40000,26,31915,40000,4000.0,8085,31915
60000,26,48113,60000,6000.0,11887,48113
80000,26,63987,80000,8000.0,16013,63987
100000,26,80049,100000,10000.0,19951,80049
2,27,1,2,0.2,1,1
3,27,3,3,0.3,0,3
100,27,80,100,10.0,20,80
200,27,169,200,20.0,31,169
2000,27,1634,2000,200.0,366,1634
10000,27,7952,10000,1000.0,2048,7952
20000,27,16051,20000,2000.0,3949,16051
40000,27,31979,40000,4000.0,8021,31979
60000,27,47901,60000,6000.0,12099,47901
80000,27,63991,80000,8000.0,16009,63991
100000,27,80034,100000,10000.0,19966,80034
2,28,1,2,0.2,1,1
3,28,3,3,0.3,0,3
100,28,82,100,10.0,18,82
200,28,158,200,20.0,42,158
2000,28,1603,2000,200.0,397,1603
10000,28,7984,10000,1000.0,2016,7984
20000,28,16035,20000,2000.0,3965,16035
40000,28,31957,40000,4000.0,8043,31957
60000,28,48209,60000,6000.0,11791,48209
80000,28,63704,80000,8000.0,16296,63704
100000,28,79934,100000,10000.0,20066,79934
2,29,2,2,0.2,0,2
3,29,3,3,0.3,0,3
100,29,83,100,10.0,17,83
200,29,160,200,20.0,40,160
2000,29,1594,2000,200.0,406,1594
10000,29,7983,10000,1000.0,2017,7983
20000,29,16009,20000,2000.0,3991,16009
40000,29,32139,40000,4000.0,7861,32139
60000,29,48046,60000,6000.0,11954,48046
80000,29,63973,80000,8000.0,16027,63973
100000,29,80042,100000,10000.0,19958,80042
2,30,2,2,0.2,0,2
3,30,2,3,0.3,1,2
100,30,90,100,10.0,10,90
200,30,147,200,20.0,53,147
2000,30,1630,2000,200.0,370,1630
10000,30,8020,10000,1000.0,1980,8020
20000,30,15994,20000,2000.0,4006,15994
40000,30,32043,40000,4000.0,7957,32043
60000,30,48062,60000,6000.0,11938,48062
80000,30,63981,80000,8000.0,16019,63981
100000,30,80072,100000,10000.0,19928,80072
2,31,2,2,0.2,0,2
3,31,2,3,0.3,1,2
100,31,89,100,10.0,11,89
200,31,168,200,20.0,32,168
2000,31,1629,2000,200.0,371,1629
10000,31,8001,10000,1000.0,1999,8001
20000,31,15996,20000,2000.0,4004,15996
40000,31,31977,40000,4000.0,8023,31977
60000,31,48007,60000,6000.0,11993,48007
80000,31,64125,80000,8000.0,15875,64125
100000,31,79823,100000,10000.0,20177,79823
2,32,2,2,0.2,0,2
3,32,3,3,0.3,0,3
100,32,79,100,10.0,21,79
200,32,161,200,20.0,39,161
2000,32,1579,2000,200.0,421,1579
10000,32,8065,10000,1000.0,1935,8065
20000,32,16017,20000,2000.0,3983,16017
40000,32,32038,40000,4000.0,7962,32038
60000,32,47914,60000,6000.0,12086,47914
80000,32,64118,80000,8000.0,15882,64118
100000,32,80047,100000,10000.0,19953,80047
2,33,2,2,0.2,0,2
3,33,2,3,0.3,1,2
100,33,85,100,10.0,15,85
200,33,162,200,20.0,38,162
2000,33,1611,2000,200.0,389,1611
10000,33,7954,10000,1000.0,2046,7954
20000,33,16043,20000,2000.0,3957,16043
40000,33,32006,40000,4000.0,7994,32006
60000,33,47935,60000,6000.0,12065,47935
80000,33,64138,80000,8000.0,15862,64138
