Timestep,Iteration,Total Reward,Suboptimal Arms,Regret,Zeros Count,Ones Count
100,40,86,43,4.3,14,86
200,40,169,87,8.7,31,169
2000,40,1771,274,27.4,229,1771
10000,40,8970,818,81.8,1030,8970
20000,40,17892,513,51.3,2108,17892
40000,40,35873,1473,147.3,4127,35873
60000,40,53837,1746,174.6,6163,53837
80000,40,71879,1792,179.2,8121,71879
100000,40,89845,2029,202.9,10155,89845
2,41,2,1,0.1,0,2
3,41,3,1,0.1,0,3
100,41,89,30,3.0,11,89
200,41,172,91,9.1,28,172
2000,41,1746,395,39.5,254,1746
10000,41,8993,667,66.7,1007,8993
20000,41,17911,1301,130.1,2089,17911
40000,41,35732,1099,109.9,4268,35732
60000,41,53809,2008,200.8,6191,53809
80000,41,71823,1500,150.0,8177,71823
100000,41,89755,1893,189.3,10245,89755
2,42,1,1,0.1,1,1
3,42,3,1,0.1,0,3
100,42,85,60,6.0,15,85
200,42,174,69,6.9,26,174
2000,42,1758,521,52.1,242,1758
10000,42,8867,858,85.8,1133,8867
20000,42,17899,907,90.7,2101,17899
40000,42,35895,1187,118.7,4105,35895
60000,42,53903,1653,165.3,6097,53903
80000,42,71946,1656,165.6,8054,71946
100000,42,89884,1497,149.7,10116,89884
2,43,1,1,0.1,1,1
3,43,3,1,0.1,0,3
100,43,90,41,4.1,10,90
200,43,168,62,6.2,32,168
2000,43,1755,427,42.7,245,1755
10000,43,8920,952,95.2,1080,8920
20000,43,17955,1078,107.8,2045,17955
40000,43,35893,1387,138.7,4107,35893
60000,43,53818,1662,166.2,6182,53818
80000,43,71888,1983,198.3,8112,71888
100000,43,89811,1626,162.6,10189,89811
2,44,2,1,0.1,0,2
3,44,1,2,0.2,2,1
100,44,83,47,4.7,17,83
200,44,168,66,6.6,32,168
2000,44,1749,468,46.8,251,1749
10000,44,8889,737,73.7,1111,8889
20000,44,17946,876,87.6,2054,17946
40000,44,35824,1472,147.2,4176,35824
60000,44,53934,1387,138.7,6066,53934
80000,44,71892,1449,144.9,8108,71892
100000,44,89801,2029,202.9,10199,89801
2,45,1,1,0.1,1,1
3,45,2,2,0.2,1,2
100,45,84,41,4.1,16,84
200,45,172,54,5.4,28,172
2000,45,1721,536,53.6,279,1721
10000,45,8873,1276,127.6,1127,8873
20000,45,17941,1310,131.0,2059,17941
40000,45,35850,1161,116.1,4150,35850
60000,45,53886,1660,166.0,6114,53886
80000,45,71901,1585,158.5,8099,71901
100000,45,89656,2010,201.0,10344,89656
2,46,1,1,0.1,1,1
3,46,2,1,0.1,1,2
100,46,87,25,2.5,13,87
200,46,178,62,6.2,22,178
2000,46,1757,347,34.7,243,1757
10000,46,8947,932,93.2,1053,8947
20000,46,17839,1051,105.1,2161,17839
40000,46,35778,1728,172.8,4222,35778
60000,46,53839,1829,182.9,6161,53839
80000,46,71883,1399,139.9,8117,71883
100000,46,89725,1583,158.3,10275,89725
2,47,2,1,0.1,0,2
3,47,2,1,0.1,1,2
100,47,81,31,3.1,19,81
200,47,166,75,7.5,34,166
2000,47,1758,398,39.8,242,1758
10000,47,8925,708,70.8,1075,8925
20000,47,17892,1408,140.8,2108,17892
40000,47,35863,1177,117.7,4137,35863
60000,47,53840,1637,163.7,6160,53840
80000,47,71837,1965,196.5,8163,71837
100000,47,89840,1430,143.0,10160,89840
2,48,1,1,0.1,1,1
3,48,3,1,0.1,0,3
100,48,86,35,3.5,14,86
200,48,181,93,9.3,19,181
2000,48,1721,334,33.4,279,1721
10000,48,8906,1007,100.7,1094,8906
20000,48,17917,1040,104.0,2083,17917
40000,48,35845,1186,118.6,4155,35845
60000,48,53754,1455,145.5,6246,53754
80000,48,71851,1601,160.1,8149,71851
100000,48,90011,1997,199.7,9989,90011
2,49,1,1,0.1,1,1
3,49,1,2,0.2,2,1
100,49,85,50,5.0,15,85
200,49,174,65,6.5,26,174
2000,49,1749,416,41.6,251,1749
10000,49,8914,753,75.3,1086,8914
20000,49,17860,919,91.9,2140,17860
40000,49,35846,1960,196.0,4154,35846
60000,49,53593,1361,136.1,6407,53593
80000,49,71784,1460,146.0,8216,71784
100000,49,89744,2059,205.9,10256,89744
2,50,2,1,0.1,0,2
3,50,2,2,0.2,1,2
100,50,81,43,4.3,19,81
200,50,175,76,7.6,25,175
2000,50,1762,288,28.8,238,1762
10000,50,8910,893,89.3,1090,8910
20000,50,17986,1156,115.6,2014,17986
40000,50,35907,1421,142.1,4093,35907
60000,50,53854,1333,133.3,6146,53854
80000,50,71722,1617,161.7,8278,71722
100000,50,89906,1246,124.6,10094,89906
2,51,2,1,0.1,0,2
3,51,3,1,0.1,0,3
100,51,84,30,3.0,16,84
200,51,186,89,8.9,14,186
2000,51,1760,383,38.3,240,1760
10000,51,8901,1044,104.4,1099,8901
20000,51,17938,1200,120.0,2062,17938
40000,51,35893,1171,117.1,4107,35893
60000,51,53814,1824,182.4,6186,53814
80000,51,71752,1489,148.9,8248,71752
100000,51,89741,1765,176.5,10259,89741
2,52,2,1,0.1,0,2
3,52,2,1,0.1,1,2
100,52,85,33,3.3,15,85
200,52,171,43,4.3,29,171
2000,52,1751,398,39.8,249,1751
10000,52,8945,852,85.2,1055,8945
20000,52,17873,960,96.0,2127,17873
40000,52,35735,1759,175.9,4265,35735
60000,52,53847,1280,128.0,6153,53847
80000,52,71939,1413,141.3,8061,71939
100000,52,89869,2160,216.0,10131,89869
2,53,1,1,0.1,1,1
3,53,3,1,0.1,0,3
100,53,86,32,3.2,14,86
200,53,174,53,5.3,26,174
2000,53,1766,330,33.0,234,1766
10000,53,8849,1074,107.4,1151,8849
20000,53,17893,1100,110.0,2107,17893
40000,53,35774,1585,158.5,4226,35774
60000,53,54003,1448,144.8,5997,54003
80000,53,71912,1327,132.7,8088,71912
100000,53,89963,1699,169.9,10037,89963
2,54,2,1,0.1,0,2
3,54,3,1,0.1,0,3
100,54,86,25,2.5,14,86
200,54,174,67,6.7,26,174
2000,54,1735,410,41.0,265,1735
10000,54,8903,849,84.9,1097,8903
20000,54,17834,1639,163.9,2166,17834
40000,54,35897,1793,179.3,4103,35897
60000,54,53808,1694,169.4,6192,53808
80000,54,71648,1668,166.8,8352,71648
100000,54,89795,2224,222.4,10205,89795
2,55,1,1,0.1,1,1
3,55,2,2,0.2,1,2
100,55,83,20,2.0,17,83
200,55,173,67,6.7,27,173
2000,55,1750,406,40.6,250,1750
10000,55,8920,981,98.1,1080,8920
20000,55,17832,1076,107.6,2168,17832
40000,55,35947,1233,123.3,4053,35947
60000,55,53840,1752,175.2,6160,53840
80000,55,71914,1326,132.6,8086,71914
100000,55,89725,2166,216.6,10275,89725
2,56,2,1,0.1,0,2
3,56,3,1,0.1,0,3
100,56,86,41,4.1,14,86
200,56,170,113,11.3,30,170
2000,56,1768,336,33.6,232,1768
10000,56,8860,1145,114.5,1140,8860
20000,56,17864,1223,122.3,2136,17864
40000,56,35839,1719,171.9,4161,35839
60000,56,53727,1823,182.3,6273,53727
80000,56,71922,1734,173.4,8078,71922
100000,56,89861,1564,156.4,10139,89861
2,57,2,1,0.1,0,2
3,57,3,1,0.1,0,3
100,57,86,13,1.3,14,86
200,57,167,50,5.0,33,167
2000,57,1761,315,31.5,239,1761
10000,57,8943,723,72.3,1057,8943
20000,57,17909,965,96.5,2091,17909
40000,57,35909,1388,138.8,4091,35909
60000,57,53784,2140,214.0,6216,53784
80000,57,71778,1769,176.9,8222,71778
100000,57,89782,1607,160.7,10218,89782
2,58,2,1,0.1,0,2
3,58,3,1,0.1,0,3
100,58,89,46,4.6,11,89
200,58,169,89,8.9,31,169
2000,58,1758,348,34.8,242,1758
10000,58,8970,818,81.8,1030,8970
20000,58,17912,1299,129.9,2088,17912
40000,58,35763,1669,166.9,4237,35763
60000,58,53795,1981,198.1,6205,53795
80000,58,71985,1510,151.0,8015,71985
100000,58,89802,1582,158.2,10198,89802
2,59,2,1,0.1,0,2
