Time Horizon,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count,pulls complete
2,41,2,0,0.0,0,2,2.0
3,41,3,0,0.0,0,3,3.0
100,41,86,50,5.0,14,86,100.0
200,41,182,3,0.3,18,182,200.0
2000,41,1693,1000,100.0,307,1693,2000.0
2,42,0,0,0.0,2,0,2.0
3,42,3,0,0.0,0,3,3.0
100,42,79,99,9.9,21,79,100.0
200,42,177,2,0.2,23,177,200.0
2000,42,1710,1000,100.0,290,1710,2000.0
2,43,2,0,0.0,0,2,2.0
3,43,3,0,0.0,0,3,3.0
100,43,81,98,9.8,19,81,100.0
200,43,159,199,19.9,41,159,200.0
2000,43,1800,4,0.4,200,1800,2000.0
2,44,2,0,0.0,0,2,2.0
3,44,3,0,0.0,0,3,3.0
100,44,84,50,5.0,16,84,100.0
200,44,177,100,10.0,23,177,200.0
2000,44,1579,1998,199.8,421,1579,2000.0
2,45,2,0,0.0,0,2,2.0
3,45,3,0,0.0,0,3,3.0
100,45,73,99,9.9,27,73,100.0
200,45,165,100,10.0,35,165,200.0
2000,45,1810,2,0.2,190,1810,2000.0
2,46,1,0,0.0,1,1,2.0
3,46,3,0,0.0,0,3,3.0
100,46,78,50,5.0,22,78,100.0
200,46,175,3,0.3,25,175,200.0
2000,46,1691,1000,100.0,309,1691,2000.0
2,47,2,0,0.0,0,2,2.0
3,47,3,0,0.0,0,3,3.0
100,47,89,50,5.0,11,89,100.0
200,47,178,1,0.1,22,178,200.0
2000,47,1796,1,0.1,204,1796,2000.0
2,48,2,0,0.0,0,2,2.0
3,48,3,0,0.0,0,3,3.0
100,48,84,50,5.0,16,84,100.0
200,48,182,1,0.1,18,182,200.0
2000,48,1592,1999,199.9,408,1592,2000.0
2,49,1,0,0.0,1,1,2.0
3,49,2,0,0.0,1,2,3.0
100,49,83,98,9.8,17,83,100.0
200,49,163,197,19.7,37,163,200.0
2000,49,1596,1997,199.7,404,1596,2000.0
2,50,1,0,0.0,1,1,2.0
3,50,3,0,0.0,0,3,3.0
100,50,80,50,5.0,20,80,100.0
200,50,169,100,10.0,31,169,200.0
2000,50,1818,3,0.3,182,1818,2000.0
2,51,2,0,0.0,0,2,2.0
3,51,3,0,0.0,0,3,3.0
100,51,90,50,5.0,10,90,100.0
200,51,177,100,10.0,23,177,200.0
2000,51,1810,4,0.4,190,1810,2000.0
2,52,2,0,0.0,0,2,2.0
3,52,2,0,0.0,1,2,3.0
100,52,86,50,5.0,14,86,100.0
200,52,168,100,10.0,32,168,200.0
2000,52,1595,1999,199.9,405,1595,2000.0
2,53,2,0,0.0,0,2,2.0
3,53,2,0,0.0,1,2,3.0
100,53,87,99,9.9,13,87,100.0
200,53,174,2,0.2,26,174,200.0
2000,53,1817,1,0.1,183,1817,2000.0
2,54,2,0,0.0,0,2,2.0
3,54,3,0,0.0,0,3,3.0
100,54,94,2,0.2,6,94,100.0
200,54,171,100,10.0,29,171,200.0
2000,54,1695,1000,100.0,305,1695,2000.0
2,55,2,0,0.0,0,2,2.0
3,55,3,0,0.0,0,3,3.0
100,55,87,50,5.0,13,87,100.0
200,55,169,100,10.0,31,169,200.0
2000,55,1795,3,0.3,205,1795,2000.0
2,56,1,0,0.0,1,1,2.0
3,56,3,0,0.0,0,3,3.0
100,56,76,50,5.0,24,76,100.0
200,56,169,100,10.0,31,169,200.0
2000,56,1797,1,0.1,203,1797,2000.0
2,57,2,0,0.0,0,2,2.0
3,57,2,0,0.0,1,2,3.0
100,57,87,50,5.0,13,87,100.0
200,57,178,100,10.0,22,178,200.0
2000,57,1682,1000,100.0,318,1682,2000.0
2,58,2,0,0.0,0,2,2.0
3,58,3,0,0.0,0,3,3.0
100,58,88,50,5.0,12,88,100.0
200,58,180,1,0.1,20,180,200.0
2000,58,1806,1,0.1,194,1806,2000.0
2,59,2,0,0.0,0,2,2.0
3,59,3,0,0.0,0,3,3.0
100,59,82,50,5.0,18,82,100.0
200,59,184,3,0.3,16,184,200.0
2000,59,1776,1,0.1,224,1776,2000.0
2,60,2,0,0.0,0,2,2.0
3,60,3,0,0.0,0,3,3.0
100,60,81,50,5.0,19,81,100.0
200,60,173,100,10.0,27,173,200.0
2000,60,1791,3,0.3,209,1791,2000.0
2,61,2,0,0.0,0,2,2.0
3,61,3,0,0.0,0,3,3.0
100,61,79,99,9.9,21,79,100.0
200,61,167,198,19.8,33,167,200.0
2000,61,1804,2,0.2,196,1804,2000.0
2,62,2,0,0.0,0,2,2.0
3,62,2,0,0.0,1,2,3.0
100,62,82,50,5.0,18,82,100.0
200,62,146,198,19.8,54,146,200.0
2000,62,1670,1000,100.0,330,1670,2000.0
2,63,2,0,0.0,0,2,2.0
3,63,3,0,0.0,0,3,3.0
100,63,74,99,9.9,26,74,100.0
200,63,171,100,10.0,29,171,200.0
2000,63,1803,1,0.1,197,1803,2000.0
2,64,2,0,0.0,0,2,2.0
3,64,2,0,0.0,1,2,3.0
100,64,91,1,0.1,9,91,100.0
200,64,172,100,10.0,28,172,200.0
2000,64,1620,1998,199.8,380,1620,2000.0
2,65,2,0,0.0,0,2,2.0
3,65,3,0,0.0,0,3,3.0
100,65,91,2,0.2,9,91,100.0
